ID,Description,Clarity,Completeness,Consistency,Relevance
RF-01,"O sistema deve permitir que o visitante (público) visualize uma lista de todas as ações de caridade da casa. Cada ação na lista deve ser apresentada de forma clara, incluindo: Título da ação, Descrição breve, Data e hora (se aplicável), Local (se aplicável), Fotos ou vídeos (opcional). O visitante deve poder clicar em uma ação para ver uma página com todos os detalhes.",5,5,4,5
RF-02,"O sistema deve permitir que o visitante pesquise ações por palavras-chave no título ou descrição. Além disso, deve ser possível filtrar a lista de ações por status (futuras, em andamento, concluídas), local e categoria (ex.: alimentação, educação, saúde).",5,5,5,5
RF-03,"O sistema deve permitir que o visitante (ou usuário logado) reaja a uma ação de caridade por meio de um botão ""Curtir"" ou ""Apoiar"". O contador de curtidas deve ser visível na listagem e na página de detalhes da ação.",5,4,3,5
RF-04,"O sistema deve exibir um link ou botão ""Doar via Pix"". Ao clicar, o visitante deve ser direcionado para uma página que exibe o QR Code do Pix da Casa da Caridade. O QR Code deve ser válido para permitir que o visitante use seu aplicativo de banco para realizar a doação.",5,4,4,5
RF-05,"O sistema deve prover um formulário de cadastro solicitando nome completo, endereço de e-mail e senha. O sistema deve verificar se o e-mail já está cadastrado. Após o envio, o sistema deve enviar um e-mail de confirmação contendo um link para o usuário clicar e concluir o cadastro.",5,5,5,5
RF-06,"O sistema deve prover, na página de detalhes de uma ação, um botão ""Quero Ajudar"". Clicando, o usuário/visitante preencherá um formulário solicitando nome, e-mail, telefone e o tipo de ajuda que pode oferecer (doação de itens específicos, trabalho voluntário, etc.). Esta intenção será registrada e visualizável no painel administrativo.",5,4,5,5
RF-07,"O sistema deve conter uma página estática com a história, missão, visão e valores da Casa da Caridade, além de informações de contato e localização física.",5,5,5,5
RF-08,O sistema deve prover uma página de login onde usuários cadastrados e administradores possam acessar suas contas utilizando e-mail e senha válidos.,5,4,5,5
RF-09,"O sistema deve prover um link ""Esqueci minha senha"" na página de login. Ao informar o e-mail cadastrado, o sistema enviará uma mensagem contendo um link seguro e de uso único, válido por 24 horas, para a redefinição da senha.",5,5,5,5
RF-10,Usuários logados devem poder acessar uma página de perfil para visualizar e editar suas informações cadastrais (nome e e-mail) e alterar sua senha.,5,5,5,5
