ID,Description,Clarity,Completeness,Consistency,Relevance
RF-01,"O sistema deve permitir ao paciente registrar diariamente sinais vitais (frequência cardíaca, pressão arterial, saturação de O₂, peso) e sintomas (dor torácica, dispneia, edema), com campos estruturados, possibilidade de inserção manual e importação via dispositivos conectados (Bluetooth), além de validação de faixa e indicação visual de valores fora do padrão.",5,5,5,5
RF-02,"O sistema deve manter e exibir um histórico cronológico dos eventos do paciente (triagens, registros de sinais, quizzes, mensagens com o assistente, consultas, geração de relatórios), permitindo filtragem por período, tipo de evento, palavras-chave e exportação parcial para PDF/CSV.",5,5,5,5
RF-03,"O sistema deve gerar relatórios sumários e detalhados em PDF e CSV contendo: resumo de sinais vitais, gráficos de tendência, itens de triagem, alertas gerados e recomendações; o usuário deve poder selecionar período, incluir ou excluir seções e proteger PDF com senha opcional.",5,5,4,5
RF-04,"O sistema deve gerar recomendações de estilo de vida (plano alimentar genérico, plano de atividade física adaptada, higiene do sono) personalizadas com base nos dados do paciente, perfil de risco e metas configuradas; recomendações devem ter justificativa clínica resumida e grau de prioridade.",4,5,5,5
RF-05,"O sistema deve enviar notificações push, e-mail e/ou SMS (conforme consentimento) para lembretes de registro, metas não alcançadas e alertas críticos (leituras fora de segurança). As notificações críticas devem oferecer ações rápidas sugeridas (ex.: ligar para emergência, procurar clínica).",5,5,5,5
RF-06,"O sistema deve fornecer um painel de consentimento onde o usuário pode gerenciar permissões de compartilhamento (médico, familiar, pesquisador), selecionar escopo (leitura somente / leitura e exportação), revogar consentimentos e ver o log de acessos a seus dados.",5,4,4,5
RF-07,"O sistema deve oferecer uma biblioteca categorizada e pesquisável de conteúdo (artigos, vídeos, infográficos, guidelines), com filtros por público (paciente/estudante), nível de profundidade, fonte e data; cada conteúdo deve exibir metadados e indicação da revisão por especialista.",5,5,5,5
RF-08,"O sistema deve apresentar vistas 2D interativas de estruturas cardíacas (miocárdio, artérias coronárias, válvulas) com camadas informativas (anatômica, fisiopatológica), possibilidade de destacar lesões comuns (estenose, infarto) e apresentar anotações textuais e áudio explicativo.",4,5,5,5
RF-09,"O sistema deve disponibilizar módulos explicativos sobre procedimentos (indicações, preparação, passos, riscos, pós-op), com ilustrações/ animações curtas e notas destinadas a estudantes e pacientes, e indicar referências científicas quando aplicável.",4,5,4,5
RF-10,"O sistema deve oferecer Text-to-Speech para conteúdos textuais, legendas automáticas e edição de legendas para vídeos, opções de ajuste de contraste, tamanho de fonte e navegação por teclado/gestos para acessibilidade.",5,5,5,5
