ID,Description,Clarity,Completeness,Consistency,Relevance
RF-01,"O sistema deve armazenar e exibir um histórico temporal das medições e eventos relacionados à saúde cardiovascular (ex.: pressão arterial, frequência cardíaca, sintomas reportados). Deve permitir visualização de gráficos por período (diário, semanal, mensal), filtrar por tipo de dado e gerar relatórios resumidos para o paciente.",4,5,5,5
RF-02,"O sistema deve permitir configuração de lembretes personalizados (medicação, exames, consultas) e enviar notificações push/in-app e por e-mail no horário configurado. Deve também enviar alertas automáticos quando leituras ou respostas do formulário indicarem risco clínico (segundo regras definidas).",5,5,5,5
RF-03,"O sistema deve permitir a integração com wearables e dispositivos de medição por meio de APIs/SDKs (por exemplo: dados de frequência cardíaca) e possibilitar upload/importação manual de arquivos (CSV, JSON) contendo leituras para ingestão no histórico do usuário.",5,5,4,5
RF-04,"Com base na triagem inteligente e no histórico do paciente, o sistema deve gerar um plano de ação personalizado (ex.: mudar dieta, procurar avaliação médica, exercícios recomendados) com prioridades e passos acionáveis. Deve permitir ao usuário aceitar/recusar e marcar etapas como concluídas.",5,5,5,5
RF-05,"O sistema deve disponibilizar uma biblioteca de conteúdo (artigos, vídeos, infográficos, estudos de caso) categorizada por tema, nível (iniciante/avançado) e formato. Cada item deve conter metadados (autor, data, fontes) e permitir busca por palavras-chave e filtros.",5,5,5,5
RF-06,"O sistema deve oferecer trilhas educativas (sequência de conteúdos + quizzes) para estudantes, registrar o progresso do usuário e fornecer certificados ou badges internos quando concluírem uma trilha.",5,4,4,5
RF-07,"O sistema deve oferecer recursos de acessibilidade nos conteúdos: leitura por voz (TTS) para artigos, legendas para vídeos, ajuste de tamanho de fonte, alto contraste e navegação compatível com leitores de tela.",5,5,5,5
RF-08,"O sistema deve permitir que usuários salvem conteúdos, imagens interativas e questões de quizzes como favoritos, adicionem anotações pessoais e organizem marcadores em pastas ou tags.",5,4,4,5
RF-09,"O sistema deve disponibilizar um espaço de comunidade para troca de experiências, perguntas e discussão de casos (com moderação). Deve permitir criação de tópicos, respostas, likes e sinalização de conteúdo inapropriado por moderadores ou IA.",5,5,5,5
RF-10,"O sistema deve permitir exportar relatórios de saúde (PDF) e compartilhar, mediante consentimento, com profissionais de saúde por link seguro ou integração com sistemas externos. Deve suportar controle de acesso e expiração de links.",5,5,5,5
