ID,Description,Clarity,Completeness,Consistency,Relevance
RF-01,"O sistema deve prover uma barra de pesquisa visível na página de listagem de ações. O visitante deve poder digitar palavras-chave (ex: ""Natal"", ""Alimentos"") e o sistema deve filtrar dinamicamente a lista de ações, exibindo apenas aquelas que contenham a palavra-chave no título ou na descrição.",5,4.5,5,5
RF-02,"O sistema deve exibir um link de menu permanente ""Quem Somos"" ou ""Sobre a Casa"". Ao clicar, o visitante deve ser direcionado para uma página de conteúdo estático que descreva a missão, visão, valores, história e a equipe da Casa da Caridade.",4.5,4.5,5,5
RF-03,"O sistema deve prover uma página de login restrita (ex: /admin) para a equipe da Casa da Caridade. O administrador deve informar seu e-mail e senha. O sistema deve validar as credenciais de forma segura (hash de senha). Em caso de sucesso, o administrador deve ser redirecionado ao painel administrativo. Em caso de falha, uma mensagem de erro (""Usuário ou senha inválidos"") deve ser exibida.",5,5,5,5
RF-04,"O sistema deve permitir, no painel administrativo, que o administrador edite uma ação de caridade existente. Ao selecionar ""Editar"" em uma ação, o sistema deve carregar o formulário de cadastro preenchido com os dados atuais da ação. O administrador poderá alterar qualquer campo (título, descrição, data, fotos) e salvar as modificações, que devem ser refletidas publicamente.",5,5,5,5
RF-05,"O sistema deve permitir, no painel administrativo, que o administrador arquive uma ação de caridade concluída ou cancelada. Ao ser arquivada, a ação não deve mais ser exibida na lista pública, mas deve permanecer no banco de dados para fins de histórico e relatórios. O sistema deve solicitar uma confirmação (ex: ""Deseja realmente arquivar esta ação?"") antes de executar a operação.",5,5,5,4.5
RF-06,"O sistema deve prover, no painel administrativo, uma seção para ""Gerenciar Páginas"". O administrador deve poder selecionar a página ""Sobre a Instituição"" e utilizar um editor de texto rico (WYSIWYG) para atualizar o conteúdo (textos, imagens) dessa página sem a necessidade de código.",4.5,4.5,5,4
RF-07,"O sistema deve prover, no painel administrativo, uma funcionalidade ""Gerenciar Usuários"". O administrador deve poder visualizar uma lista paginada de todos os usuários cadastrados, contendo no mínimo: Nome, E-mail, Data de Cadastro e Status (Ativo/Inativo).",5,5,5,4.5
RF-08,"Na lista de usuários, o administrador deve ter a capacidade de alterar o status de um usuário (ex: de ""Ativo"" para ""Inativo"" ou ""Bloqueado""). Um usuário inativo ou bloqueado não deve conseguir realizar login no sistema.",5,5,4,4
RF-09,"O painel administrativo deve incluir uma funcionalidade de ""Comunicados"" ou ""Newsletter"". O administrador deve poder redigir uma mensagem (Assunto e Corpo, usando um editor de texto) e enviá-la por e-mail para todos os usuários cadastrados que estejam com status ""Ativo"".",5,5,5,4
RF-10,"No painel de gerenciamento de doações, o administrador deve ter a opção ""Registrar Doação Manual"". O sistema deve apresentar um formulário para inserir doações recebidas fora da plataforma (ex: espécie, depósito direto), solicitando: Nome do Doador (opcional/anônimo), Valor, Data da Doação e Origem (ex: ""Doação em espécie"").",5,5,5,5
