ID,Description,Clarity,Completeness,Consistency,Relevance
RF-01,"O sistema deve permitir que o visitante pesquise ações de caridade por palavras-chave no título ou descrição. Adicionalmente, deve ser possível filtrar a lista de ações por data (futuras/passadas), local ou categoria (ex.: distribuição de alimentos, campanha do agasalho). Os resultados devem ser atualizados dinamicamente.",5,5,5,5
RF-02,"O sistema deve possuir uma página estática ""Sobre Nós"" acessível a todos os visitantes. Esta página deve conter a história, missão, visão, valores da Casa da Caridade e informações sobre sua diretoria ou equipe principal.",5,5,5,5
RF-03,"O sistema deve possuir uma página ""Contato"" exibindo o endereço físico da instituição, telefone, endereço de e-mail e um mapa de localização embutido (ex.: Google Maps). Opcionalmente, pode conter um formulário de contato simples.",5,5,5,5
RF-04,"O sistema deve possuir uma página informativa sobre oportunidades de voluntariado. A página deve descrever os benefícios, responsabilidades e como se candidatar. Deve conter um botão/link que direcione o usuário (logado ou não) para um formulário de inscrição.",5,4.5,5,4
RF-05,"O sistema deve exibir um botão ""Doar via Cartão"". Ao clicar, o visitante deve ser direcionado para uma página segura com um formulário integrado a uma gateway de pagamento (ex.: Mercado Pago, PagSeguro). O formulário deve solicitar: nome do doador, valor, número do cartão, CVV e data de validade. O sistema deve processar a transação e exibir um comprovante.",5,5,5,5
RF-06,"O sistema deve possuir uma seção ""Transparência"" ou ""Nosso Impacto"", acessível a visitantes. Esta seção deve exibir gráficos ou relatórios sumarizados, gerados a partir dos dados administrativos, como: total de doações recebidas no ano, número de ações realizadas e quantas pessoas foram beneficiadas.",5,5,4,4.5
RF-07,"O sistema deve prover um formulário de login na página inicial, solicitando e-mail e senha. O sistema deve validar as credenciais. Em caso de sucesso, deve redirecionar o usuário para sua área logada ou página inicial. Em caso de erro, deve exibir uma mensagem clara.",5,5,5,5
RF-08,"O sistema deve prover uma área logada (""Meu Perfil"") onde o usuário cadastrado possa visualizar e editar suas informações pessoais, como nome, e-mail e senha. As alterações devem ser validadas e salvas no sistema.",5,4.5,5,5
RF-09,"O sistema deve exibir, na página de detalhes de uma ação futura, um botão ""Quero ser Voluntário"" para usuários logados. Ao clicar, o sistema deve registrar a intenção de voluntariado daquele usuário para aquela ação e notificar o administrador. O usuário deve receber uma confirmação de sua inscrição.",4.5,4,5,4
RF-10,"O sistema deve prover um acesso seguro ao painel administrativo, com um formulário de login restrito. O acesso deve ser concedido apenas a credenciais previamente autorizadas (não é um cadastro público). Deve haver um mecanismo de recuperação de senha.",5,5,5,5
