ID,Description,Clarity,Completeness,Consistency,Relevance
RF-01,"Ao ser iniciada, a Aplicação deve carregar as configurações a partir de um arquivo de configuração especificado (ex.: DefaultConfig.ini). A Aplicação deve validar a sintaxe e a semântica das configurações críticas. Em caso de erro de validação, a Aplicação deve exibir uma mensagem de erro descritiva e encerrar imediatamente.",5,4.5,5,5
RF-02,"A Aplicação deve instanciar e iniciar os Listeners definidos na seção [Listeners] do arquivo de configuração. Cada entrada de Listener deve especificar um tipo (ex.: DnsListener, HttpListener), uma porta, e parâmetros opcionais. Listeners com tipos não reconhecidos ou portas inválidas devem impedir a inicialização do sistema.",5,5,5,5
RF-03,"A Aplicação deve criar um named pipe ou socket de IPC (Inter-Process Communication) conhecido. Ao receber um comando de ""halt"" através deste canal, a Aplicação deve executar o mesmo procedimento de término graceful descrito no requisito ""Término Graceful com Control-C"".",4,4,5,5
RF-04,"O Diverter deve ser configurado com uma lista de portas (ex.: RedirectPorts). Todo o tráfego de saída TCP e UDP com porta de destino contida nessa lista deve ser interceptado e redirecionado para a instância do Proxy Listener (ou para o Listener específico, se configurado) em execução localmente.",5,4,5,5
RF-05,"Para cada pacote interceptado que corresponda às regras de filtragem, o Diverter deve modificar o endereço IP de destino para 127.0.0.1 (loopback) e a porta de destino para a porta em que o Proxy Listener (ou Listener de destino) está escutando. O pacote modificado deve então ser reinserido na pilha de rede para processamento local.",5,5,5,5
RF-06,"Durante a inicialização, o Diverter deve fazer backup do estado original da configuração de rede (ex.: regras de firewall, tabela de roteamento). Durante o término (graceful ou por falha), o Diverter deve restaurar esse estado original. Este processo deve ser tolerante a falhas, tentando múltiplas estratégias de restauração se necessário.",5,4.5,5,5
RF-07,"Cada Listener, ao ser iniciado pela Aplicação, deve realizar o bind e começar a escutar em sua porta TCP ou UDP configurada. Em caso de falha (ex.: porta já em uso), o Listener deve notificar a Aplicação, que deve tratar o erro e impedir a inicialização do sistema.",5,4.5,5,5
RF-08,"Cada Listener deve registrar em um log centralizado, para cada conexão ou solicitação recebida, as seguintes informações: carimbo de data/hora, endereço IP de origem, porta de origem, protocolo, e um resumo dos dados recebidos (ex.: URI para HTTP, consulta para DNS).",5,4.5,5,5
RF-09,"Cada Listener deve gerar e enviar uma resposta simulada plausível para o protocolo que está emulando, após receber uma solicitação. A resposta deve ser baseada em um modelo padrão embutido e, quando aplicável, deve ser personalizável via parâmetros no arquivo de configuração (ex.: DefaultHttpResponse).

",5,5,5,5
RF-10,"O Proxy Listener deve receber conexões redirecionadas pelo Diverter. Para cada nova conexão ou datagrama, o Proxy deve:
1. Chamar sequencialmente o método taste(data_sample) de todos os Listeners ativos que suportem o protocolo.
2. Rotear a conexão/datagrama completo para o Listener que retornar o maior ""score de confiança"" no método taste.
3. Se nenhum Listener retornar um score acima de um limiar mínimo, o tráfego deve ser descartado e um log de aviso deve ser gerado.",4,4.5,4,5
