ID,Description,Clarity,Completeness,Consistency,Relevance
RF-01,"O sistema deve exibir uma barra de pesquisa visível na lista de ações. O visitante deve poder inserir palavras-chave. O sistema deve filtrar a lista de ações em tempo real ou após o clique em ""Buscar"", exibindo apenas as ações cujo título ou descrição detalhada contenha os termos pesquisados.",5,5,5,5
RF-02,"O sistema deve prover, na página de listagem de ações, opções de filtro. O visitante deve poder filtrar as ações por ""Categoria"" (ex: Alimentação, Saúde, Eventos) e ""Data"" (ex: Próximas Ações, Ações Realizadas). O sistema deve atualizar a lista de ações para refletir os filtros selecionados.",5,5,5,5
RF-03,"O sistema deve permitir que o administrador, no painel administrativo, selecione uma ação de caridade existente e modifique qualquer um de seus campos (título, descrição, data, local, fotos). O sistema deve salvar as alterações e atualizar a exibição da ação no site público.",5,5,5,5
RF-04,"O sistema deve permitir que o administrador, no painel administrativo, selecione a opção de excluir uma ação de caridade. O sistema deve exibir uma janela de confirmação (modal) perguntando ""Tem certeza que deseja excluir esta ação? Esta ação não pode ser desfeita"". Após a confirmação, a ação deve ser removida do sistema.",5,5,5,5
RF-05,"O sistema deve prover uma página ou formulário ""Doar Itens"" (além do Pix). O visitante deve poder preencher os campos: Nome Completo, E-mail ou Telefone de Contato, e Descrição dos Itens (tipo de item, quantidade aproximada, estado de conservação). Ao submeter, o sistema deve registrar este interesse para análise do administrador.",5,5,5,5
RF-06,"O sistema deve prover, no painel administrativo, uma seção de ""Relatórios"". O administrador deve poder selecionar um intervalo de datas (Data de Início e Data de Fim) e gerar um relatório das doações via Pix recebidas. O relatório deve ser exportável em formato CSV ou PDF, contendo data, doador (se identificado), valor e status.",5,5,5,4.5
RF-07,"O sistema deve prover uma área de ""Gestão de Equipe"" acessível apenas por um ""Super-Administrador"". Esta área deve permitir a criação de novas contas de administrador (nome, e-mail, senha provisória) e a desativação de contas existentes, controlando quem pode acessar o painel administrativo.",5,5,5,4.5
RF-08,"O sistema deve exibir uma página estática ""Sobre Nós"", acessível pelo menu principal. Esta página deve conter a história da Casa da Caridade, sua missão, valores e informações de contato (endereço, telefone, e-mail). O conteúdo desta página deve ser editável pelo administrador em uma seção ""Gerenciar Página"" no painel.",5,5,5,4.5
RF-09,O sistema deve prover uma barra de busca dentro da lista de ações no painel administrativo. O administrador deve poder digitar o título de uma ação para localizar rapidamente o registro que deseja editar ou excluir.,5,4,4,5
RF-10,"O sistema deve prover, no painel administrativo, uma seção para ""Doações de Itens"". O administrador deve poder visualizar uma lista de submissões de interesse, contendo os dados do doador e a descrição dos itens. O administrador deve poder alterar o status de cada interesse (ex: ""Pendente"", ""Em Contato"", ""Concluído"", ""Recusado"").",4,4.5,4,4
